Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
33,Sasha Kaun\kaunsa01,Oct 28 '15 CLE @ MEM,30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,.529,,.455,3.8,0.9,1.0,0.1
34,Kevon Looney\looneke01,Jan 27 '16 GSW vs. DAL,19,1,5,21,4,7,1,2,0,0,4,10,0,0,0,1,2,9,.571,.500,,4.2,1.8,2.0,0.0
35,Trey Lyles\lylestr01,Oct 28 '15 UTA @ DET,20,1,80,1382,191,436,49,128,57,82,59,299,59,26,18,65,114,488,.438,.383,.695,17.3,6.1,3.7,0.7
36,Boban Marjanović\marjabo01,Oct 30 '15 SAS vs. BRK,27,1,54,508,105,174,0,0,87,114,73,194,21,12,23,29,54,297,.603,,.763,9.4,5.5,3.6,0.4
37,Jarell Martin\martija01,Dec 18 '15 MEM @ DAL,21,1,27,380,54,116,0,2,45,62,39,86,15,8,7,19,58,153,.466,.000,.726,14.1,5.7,3.2,0.6
38,T.J. McConnell\mccontj01,Oct 28 '15 PHI @ BOS,23,1,81,1606,218,464,31,89,26,41,43,250,367,95,10,140,114,493,.470,.348,.634,19.8,6.1,3.1,4.5
39,Chris McCullough\mcculch01,Feb 8 '16 BRK vs. DEN,20,1,24,362,44,109,13,34,11,23,25,68,9,28,12,15,39,112,.404,.382,.478,15.1,4.7,2.8,0.4
40,Jordan McRae\mcraejo01,Jan 29 '16 PHO @ NYK,24,1,22,195,34,78,10,22,21,28,4,20,25,3,1,15,17,99,.436,.455,.750,8.9,4.5,0.9,1.1
41,Salah Mejri\mejrisa01,Oct 28 '15 DAL @ PHO,29,1,34,397,49,78,0,1,27,46,41,123,10,8,36,23,54,125,.628,.000,.587,11.7,3.7,3.6,0.3
42,Jordan Mickey\mickejo01,Oct 28 '15 BOS vs. PHI,21,1,16,57,8,22,0,0,5,10,6,13,1,0,11,1,5,21,.364,,.500,3.6,1.3,0.8,0.1
43,Luis Montero\montelu01,Oct 30 '15 POR @ PHO,22,1,12,42,5,19,1,9,3,4,0,4,1,0,0,4,1,14,.263,.111,.750,3.5,1.2,0.3,0.1
44,Emmanuel Mudiay\mudiaem01,Oct 28 '15 DEN @ HOU,19,1,68,2068,329,905,74,232,140,209,32,232,372,65,35,217,141,872,.364,.319,.670,30.4,12.8,3.4,5.5
45,Xavier Munford\munfoxa02,Mar 17 '16 MEM @ MIL,23,1,14,244,32,77,9,23,7,14,3,31,22,13,3,15,25,80,.416,.391,.500,17.4,5.7,2.2,1.6
46,Larry Nance\nancela02,Nov 6 '15 LAL @ BRK,23,1,63,1266,158,300,1,10,32,47,101,312,44,54,23,41,124,349,.527,.100,.681,20.1,5.5,5.0,0.7
47,Raul Neto\netora01,Oct 28 '15 UTA @ DET,23,1,81,1499,180,418,64,162,52,70,17,120,174,62,2,109,122,476,.431,.395,.743,18.5,5.9,1.5,2.1
48,J.J. O'Brien\obriejj01,Jan 16 '16 UTA vs. LAL,23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,.000,,,3.0,0.0,0.5,0.0
49,Jahlil Okafor\okafoja01,Oct 28 '15 PHI @ BOS,20,1,53,1591,397,781,1,6,133,194,122,373,65,22,61,124,140,928,.508,.167,.686,30.0,17.5,7.0,1.2
50,Kelly Oubre\oubreke01,Oct 30 '15 WAS @ MIL,20,1,63,671,90,211,25,79,31,49,25,133,13,22,7,34,100,236,.427,.316,.633,10.7,3.7,2.1,0.2
51,Lamar Patterson\pattela01,Oct 27 '15 ATL vs. DET,24,1,35,395,28,80,12,49,16,22,4,50,39,9,2,23,45,84,.350,.245,.727,11.3,2.4,1.4,1.1
52,Cameron Payne\payneca01,Nov 1 '15 OKC vs. DEN,21,1,57,698,114,278,36,111,19,24,9,85,108,36,6,44,80,283,.410,.324,.792,12.2,5.0,1.5,1.9
53,Tibor Pleiß\pleisti01,Oct 30 '15 UTA @ PHI,26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,.440,.000,1.000,6.8,2.0,1.3,0.2
54,Bobby Portis\portibo01,Nov 3 '15 CHI @ CHO,20,1,62,1102,186,436,16,52,48,66,123,337,52,25,22,54,100,436,.427,.308,.727,17.8,7.0,5.4,0.8
55,Kristaps Porziņģis\porzikr01,Oct 28 '15 NYK @ MIL,20,1,72,2047,373,886,81,243,201,240,132,526,94,53,134,121,205,1028,.421,.333,.838,28.4,14.3,7.3,1.3
56,Norman Powell\powelno01,Nov 1 '15 TOR vs. MIL,22,1,49,725,97,229,36,89,43,53,16,111,47,29,10,32,59,273,.424,.404,.811,14.8,5.6,2.3,1.0
57,Willie Reed\reedwi02,Dec 4 '15 BRK @ NYK,25,1,39,426,76,133,0,0,30,55,49,122,10,6,30,16,47,182,.571,,.545,10.9,4.7,3.1,0.3
58,Josh Richardson\richajo01,Nov 5 '15 MIA @ MIN,22,1,52,1107,123,272,53,115,42,63,21,107,73,36,25,35,107,341,.452,.461,.667,21.3,6.6,2.1,1.4
59,Terry Rozier\roziete01,Oct 28 '15 BOS vs. PHI,21,1,39,311,29,106,6,27,8,10,24,63,37,6,1,19,23,72,.274,.222,.800,8.0,1.8,1.6,0.9
60,D'Angelo Russell\russeda01,Oct 28 '15 LAL vs. MIN,19,1,80,2259,392,956,130,370,140,190,47,274,266,93,13,196,142,1054,.410,.351,.737,28.2,13.2,3.4,3.3
61,Jonathon Simmons\simmojo02,Nov 14 '15 SAS vs. PHI,26,1,55,813,122,242,18,47,69,92,16,96,58,24,5,53,103,331,.504,.383,.750,14.8,6.0,1.7,1.1
62,Alex Stepheson\stephal01,Feb 20 '16 LAC vs. GSW,28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,.333,,.333,9.1,2.8,3.5,0.3
63,Edy Tavares\tavarwa01,Oct 29 '15 ATL @ NYK,23,1,11,73,11,19,0,0,3,8,7,21,3,1,6,5,8,25,.579,,.375,6.6,2.3,1.9,0.3
64,Axel Toupane\toupaax01,Mar 4 '16 DEN vs. BRK,23,1,21,305,25,70,13,40,13,17,8,31,15,7,6,6,40,76,.357,.325,.765,14.5,3.6,1.5,0.7
65,Karl-Anthony Towns\townska01,Oct 28 '15 MIN @ LAL,20,1,82,2627,625,1153,30,88,223,275,229,858,161,58,138,183,245,1503,.542,.341,.811,32.0,18.3,10.5,2.0
66,Myles Turner\turnemy01,Oct 29 '15 IND vs. MEM,19,1,60,1367,264,530,3,14,88,121,68,332,41,25,86,67,158,619,.498,.214,.727,22.8,10.3,5.5,0.7
67,Rashad Vaughn\vaughra01,Oct 28 '15 MIL vs. NYK,19,1,70,1001,81,266,43,147,12,15,11,88,39,29,16,28,73,217,.305,.293,.800,14.3,3.1,1.3,0.6
68,Briante Weber\weberbr01,Mar 11 '16 MEM vs. NOP,23,1,7,169,14,39,0,5,3,4,8,25,21,9,3,9,12,31,.359,.000,.750,24.1,4.4,3.6,3.0
69,Alan Williams\willial03,Mar 17 '16 PHO @ UTA,23,1,10,68,10,24,0,0,9,14,14,38,5,4,5,6,15,29,.417,,.643,6.8,2.9,3.8,0.5
70,Justise Winslow\winslju01,Oct 28 '15 MIA vs. CHO,19,1,78,2232,195,462,32,116,80,117,81,403,117,68,26,95,184,502,.422,.276,.684,28.6,6.4,5.2,1.5
71,Christian Wood\woodch01,Oct 28 '15 PHI @ BOS,20,1,17,145,22,53,4,11,13,21,13,38,3,5,7,2,11,61,.415,.364,.619,8.5,3.6,2.2,0.2
72,Delon Wright\wrighde01,Nov 1 '15 TOR vs. MIL,23,1,27,229,36,80,5,13,26,35,8,37,31,8,3,16,7,103,.450,.385,.743,8.5,3.8,1.4,1.1
73,Joe Young\youngjo01,Oct 28 '15 IND @ TOR,23,1,41,384,62,169,10,46,20,25,6,50,65,15,0,33,30,154,.367,.217,.800,9.4,3.8,1.2,1.6
